## init: i2c MPU
### init: pwm
### init: IBUS
curAngle:-1.915258 P:-3.543226   I:1.748221      D:-0.000000
curAngle:-3.535666 P:-6.540982   I:1.731381      D:-0.000000
curAngle:-5.094905 P:-9.425574   I:1.707115      D:-0.000000
Accel: X=0.44g Y=-0.03g Z=1.03g
Gyro: X=6.55 Y=-4.29 Z=-0.14
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:-4.557042 P:-8.430527   I:1.683688      D:0.000000
curAngle:-4.329052 P:-8.008746   I:1.663070      D:0.000000
curAngle:-4.942934 P:-9.144427   I:1.639528      D:-0.000000
curAngle:-5.314343 P:-9.831535   I:1.614216      D:-0.000000
curAngle:-6.472562 P:-11.974239  I:1.583389      D:-0.000000
curAngle:-7.799170 P:-14.428465  I:1.546243      D:-0.000000
curAngle:-7.254750 P:-13.421288  I:1.511690      D:0.000000
curAngle:-7.857026 P:-14.535499  I:1.474269      D:-0.000000
curAngle:-8.254821 P:-15.271419  I:1.434953      D:-0.000000
curAngle:-7.846732 P:-14.516455  I:1.397580      D:0.000000
curAngle:-8.898944 P:-16.463047  I:1.355196      D:-0.000000
curAngle:-9.482351 P:-17.542351  I:1.310034      D:-0.000000
curAngle:-10.014410 P:-18.526659         I:1.262337      D:-0.000000
curAngle:-10.234781 P:-18.934345         I:1.213591      D:-0.000000
curAngle:-10.800303 P:-19.980562         I:1.162151      D:-0.000000
curAngle:-10.259489 P:-18.980055         I:1.113287      D:0.000000
curAngle:-9.708923 P:-17.961508  I:1.067046      D:0.000000
curAngle:-8.904277 P:-16.472912  I:1.024637      D:0.000000
curAngle:-9.970688 P:-18.445772  I:0.977148      D:-0.000000
curAngle:-10.457940 P:-19.347189         I:0.927339      D:-0.000000
Accel: X=0.33g Y=0.22g Z=1.14g
Gyro: X=-5.10 Y=2.40 Z=-0.72
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:-11.772937 P:-21.779934         I:0.866817      D:-0.000000
curAngle:-12.138998 P:-22.457148         I:0.809001      D:-0.000000
curAngle:-12.773715 P:-23.631372         I:0.748162      D:-0.000000
curAngle:-12.038320 P:-22.270891         I:0.690826      D:0.000000
curAngle:-12.641606 P:-23.386972         I:0.630617      D:-0.000000
curAngle:-12.220756 P:-22.608398         I:0.572412      D:0.000000
curAngle:-13.655116 P:-25.261965         I:0.507375      D:-0.000000
curAngle:-14.497602 P:-26.820564         I:0.438326      D:-0.000000
curAngle:-13.196974 P:-24.414402         I:0.375472      D:0.000000
